Wall time,Step,Value
1541571933.3131099,0,1026256934010880.0
1541571956.1599615,1,469408887603200.0
1541571978.9361794,2,364955215855616.0
1541572001.8190243,3,243584070582272.0
1541572024.5883455,4,173544361164800.0
1541572047.3616972,5,163781430738944.0
1541572070.1654859,6,122657655750656.0
1541572092.9566116,7,95478624550912.0
1541572115.7846103,8,110059778473984.0
1541572138.6917682,9,86730522755072.0
1541572161.4873886,10,43825036787712.0
1541572184.2001126,11,30684496265216.0
1541572206.973517,12,24110736343040.0
1541572229.739698,13,37255603290112.0
1541572252.4798574,14,43019176771584.0
1541572275.2315378,15,41186068791296.0
1541572298.0647464,16,20872706392064.0
1541572320.7557425,17,18711035510784.0
1541572343.4534278,18,7348003274752.0
1541572366.175522,19,25017060425728.0
1541572388.8510673,20,28358811320320.0
1541572411.5201228,21,11799491510272.0
1541572434.1986525,22,14621319626752.0
1541572456.9489021,23,7903244189696.0
1541572479.5718427,24,10647260626944.0
1541572502.1301506,25,4316366897152.0
1541572524.7458582,26,6719044321280.0
1541572547.357116,27,8183345053696.0
1541572569.9758432,28,14138760757248.0
1541572592.6712549,29,6744671518720.0
1541572615.240859,30,2015743967232.0
1541572637.825383,31,2669812908032.0
1541572660.447017,32,6976965705728.0
1541572683.067637,33,1386376331264.0
1541572705.631905,34,5753074089984.0
1541572728.2189028,35,14589863395328.0
1541572750.9061792,36,11543428202496.0
1541572773.510424,37,5869965672448.0
1541572796.1307929,38,7773431529472.0
1541572818.6740377,39,12062337007616.0
