Wall time,Step,Value
1541571933.315119,0,190550066069504.0
1541571956.1601129,1,82498478407680.0
1541571978.9364882,2,76424899723264.0
1541572001.8192506,3,50400153567232.0
1541572024.588599,4,28212063109120.0
1541572047.3619068,5,23149041156096.0
1541572070.165719,6,22376498593792.0
1541572092.9568634,7,12959887654912.0
1541572115.7849288,8,34035535446016.0
1541572138.6919825,9,11621784092672.0
1541572161.487618,10,6277880610816.0
1541572184.2003098,11,4896182501376.0
1541572206.9737375,12,3225144000512.0
1541572229.7399101,13,3831308746752.0
1541572252.4800878,14,4468005404672.0
1541572275.2318082,15,11319050764288.0
1541572298.064939,16,3605994143744.0
1541572320.7559013,17,8543988613120.0
1541572343.4537024,18,1097316958208.0
1541572366.175714,19,10261311258624.0
1541572388.8512228,20,803548299264.0
1541572411.5202782,21,706514452480.0
1541572434.1988976,22,788179320832.0
1541572456.9490604,23,876403359744.0
1541572479.5720031,24,2999141531648.0
1541572502.130308,25,863150211072.0
1541572524.7460732,26,766950899712.0
1541572547.357286,27,444658089984.0
1541572569.9760263,28,5829092704256.0
1541572592.6714363,29,777397862400.0
1541572615.2410233,30,0.0
1541572637.82555,31,2484270006272.0
1541572660.44717,32,653577420800.0
1541572683.0679224,33,553122594816.0
1541572705.6320596,34,1446859898880.0
1541572728.2190766,35,4756946288640.0
1541572750.9063594,36,7212692930560.0
1541572773.510611,37,0.0
1541572796.1309521,38,1125685788672.0
1541572818.6742394,39,313242779648.0
