Wall time,Step,Value
1541571933.3144817,0,301302089252864.0
1541571956.1600628,1,128764008726528.0
1541571978.9363964,2,112552755331072.0
1541572001.8191476,3,72921020104704.0
1541572024.588538,4,64325402230784.0
1541572047.3618503,5,58839676223488.0
1541572070.1656451,6,52308431863808.0
1541572092.956794,7,41889742979072.0
1541572115.7848437,8,31215990079488.0
1541572138.6918736,9,32212082753536.0
1541572161.4875612,10,22277506727936.0
1541572184.2002501,11,14921239625728.0
1541572206.9736233,12,12237366362112.0
1541572229.739853,13,9464502550528.0
1541572252.4799702,14,20005718589440.0
1541572275.231703,15,5293782073344.0
1541572298.064848,16,3140086923264.0
1541572320.7558494,17,3495395065856.0
1541572343.4536238,18,2103262707712.0
1541572366.1756313,19,3989778726912.0
1541572388.851171,20,10641127505920.0
1541572411.520226,21,6479346663424.0
1541572434.1988282,22,674476392448.0
1541572456.949004,23,1306229211136.0
1541572479.5719497,24,3434199384064.0
1541572502.1302555,25,975511420928.0
1541572524.7459774,26,2405524832256.0
1541572547.3572176,27,4220939403264.0
1541572569.9759624,28,2899862093824.0
1541572592.6713698,29,4708793057280.0
1541572615.2409713,30,21578854400.0
1541572637.8254879,31,28682747904.0
1541572660.4471195,32,3183019032576.0
1541572683.0678685,33,222754865152.0
1541572705.632008,34,349098016768.0
1541572728.219024,35,4526063484928.0
1541572750.9062908,36,349805379584.0
1541572773.5105422,37,3540387627008.0
1541572796.1308982,38,1042917031936.0
1541572818.674184,39,2604236537856.0
