Wall time,Step,Value
1541571933.3157535,0,258654255185920.0
1541571956.1601644,1,101053307551744.0
1541571978.9365766,2,58540379078656.0
1541572001.819313,3,41925210013696.0
1541572024.5886614,4,36610842296320.0
1541572047.3619611,5,36984827412480.0
1541572070.1657743,6,15092159610880.0
1541572092.9569192,7,21836630851584.0
1541572115.7849839,8,11846545309696.0
1541572138.6920393,9,8077316194304.0
1541572161.4876947,10,5260296323072.0
1541572184.200359,11,4538836189184.0
1541572206.9738007,12,8159466356736.0
1541572229.7400367,13,20757813919744.0
1541572252.480152,14,15278244102144.0
1541572275.231887,15,21505719140352.0
1541572298.0650525,16,8685465108480.0
1541572320.756017,17,3731264110592.0
1541572343.4537601,18,2264810389504.0
1541572366.17577,19,6923958091776.0
1541572388.8512745,20,3658055155712.0
1541572411.5203307,21,2994025791488.0
1541572434.198999,22,4517082955776.0
1541572456.949115,23,1336954978304.0
1541572479.5720685,24,587192926208.0
1541572502.1303625,25,1754467663872.0
1541572524.746126,26,546050146304.0
1541572547.3573475,27,971171364864.0
1541572569.9760787,28,2777929482240.0
1541572592.6714895,29,906393681920.0
1541572615.2411003,30,1994165059584.0
1541572637.8256245,31,0.0
1541572660.4472306,32,0.0
1541572683.067976,33,610498969600.0
1541572705.6321137,34,1191219298304.0
1541572728.2191315,35,2837175599104.0
1541572750.9064283,36,589655572480.0
1541572773.5106666,37,1827003170816.0
1541572796.1310065,38,2428648816640.0
1541572818.6743004,39,2740140900352.0
