Wall time,Step,Value
1541439359.529512,0,0.699999988079071
1541439398.022992,1,0.8500000238418579
1541439436.4941835,2,0.699999988079071
1541439475.014911,3,0.949999988079071
1541439513.5962162,4,0.800000011920929
1541439552.2686384,5,0.6000000238418579
1541439590.9149055,6,0.75
1541439629.2558386,7,0.8999999761581421
1541439667.5501266,8,0.949999988079071
1541439705.846358,9,1.0
1541439743.7961473,10,1.0
1541439781.9386346,11,0.949999988079071
1541439820.2066422,12,0.8500000238418579
1541439858.5103464,13,0.949999988079071
1541439897.0973566,14,0.8500000238418579
