Wall time,Step,Value
1541439359.5286875,0,2020549591040.0
1541439398.022917,1,1011904479232.0
1541439436.49409,2,714883137536.0
1541439475.0148337,3,52404867072.0
1541439513.5961332,4,406544252928.0
1541439552.2685533,5,1142923067392.0
1541439590.9148169,6,336686120960.0
1541439629.255772,7,109921058816.0
1541439667.5499973,8,8656663552.0
1541439705.8462865,9,0.0
1541439743.7960832,10,0.0
1541439781.938575,11,21007380480.0
1541439820.2065508,12,200486977536.0
1541439858.510272,13,108965814272.0
1541439897.0972795,14,64766803968.0
